No.,Title,Description,URL
1,Apsara Clouder - Cloud Computing Specialist Certification : Publish a static website in China with ICP,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/6
2,Apsara Clouder - Cloud Computing Specialist Certification ：Construct a dynamic website,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/7
3,Apsara Clouder - Cloud Computing Specialist Certification : Operate and Manage a cloud server,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/8
4,Apsara Clouder - Cloud Security Specialist Certification : Cloud platform security overview,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/9
5,Apsara Clouder - Cloud Security Specialist Certification : Cloud Application Security,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/10
6,Apsara Clouder - Big Data Specialist Certification : Analyze Log Data with Alibaba Cloud Big Data Platform,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/11
7,test(do not delete),1 questions Time limit: 5 min,https://edu.alibabacloud.com/clouder/exam/intro/12
8,test2,1 questions Time limit: 5 min,https://edu.alibabacloud.com/clouder/exam/intro/13
9,test,2 questions Time limit: 20 min,https://edu.alibabacloud.com/clouder/exam/intro/14
10,Apsara Clouder - Cloud Computing Specialist Certification :Operate and manage RDS,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/15
11,Apsara Clouder - Cloud Computing Specialist Certification :Operate and Manage OSS,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/16
12,Apsara Clouder - Cloud Computing Specialist Certification :Use SLB to handle large traffic to your website,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/17
13,Deploy an e-commerce website on Alibaba Cloud (using Magento),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/18
14,Alibaba Cloud Big Data Quickstart Series: Data Integration,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/19
15,Alibaba JAVA Coding Guidelines,50 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/20
16,Generate business reports with quickBI,15 questions Time limit: 45 min,https://edu.alibabacloud.com/clouder/exam/intro/21
17,Using DataV to create a large dashboard for data visualization,15 questions Time limit: 45 min,https://edu.alibabacloud.com/clouder/exam/intro/22
18,Secure your data in Alibaba Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/23
19,Manage and Operate Mysql Database,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/24
20,Deploy an image process service using Function Compute,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/25
21,Quickly Deploy WordPress on Alibaba Cloud using ROS,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/26
22,Blue Green deployment using container service,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/27
23,Python structured data processing quickstart,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/28
24,Operate and Manage a Cloud Server(for Cantonese Course),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/29
25,Use Cloud Resources Flexibly According To Business Requirement,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/30
26,Network Series Courses,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/31
27,Data Integration on Cloud (French version),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/32
28,Scale Python on Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/33
29,Machine Learning：Heart Disease Prediction,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/34
30,Machine Learning：Heart Disease Prediction,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/35
31,How To Manage Ultra Large Application With EDAS,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/36
32,3 Major Scenarios You Should Know To Migrate To Alibaba Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/37
33,Isolated Network Environment With Virtual Private Cloud (VPC),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/38
34,Best Practice To Protect Your Servers On Alibaba Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/39
35,Getting Started With Linux Server Management,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/40
36,Construct A Dynamic Website （Cantonese),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/41
37,Alibaba Cloud Fundamental Architecture And Case Study,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/42
38,Use Alibaba Cloud CDN to Accelerate Your Content Globally,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/43
39,An Introduction of DevOps,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/44
40,Secure Your Data in Alibaba Cloud(French version),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/45
41,Use Anti-DDoS Basic and Pro to Defend DoS Attack,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/46
42,Machine Learning on Alibaba Cloud for Beginners - Linear Regression Analysis,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/47
43,Internetworking With VPC,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/48
44,Web Application Attacks and Defense Deep Dive,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/49
45,How to Build and Manage A Distributed Database System with DRDS,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/50
46,Quickly Publish a Static Website Using Alibaba Cloud Service (Cantonese),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/51
47,Alibaba Cloud Elastic Architecture and Case Study,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/52
48,Distributed Storage Introduction,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/53
49,How to Use Spark on Cloud Series - Setup,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/54
50,How to Use Spark on Cloud Series 2 - Spark Python,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/55
51,Machine Learning Algorithm Primer Series 2- Naive Bayes Classifier,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/56
52,Riding Analysis of Shared Bicycles,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/57
53,Cloud Servers Security Strengthening,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/58
54,Cloud Platform Security Overview （Cantonese),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/59
55,Introduction to Redis,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/60
56,Alibaba Cloud Analysis Architecture and Case Studies,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/61
57,Operate and Manage Object Storage on the Cloud (Cantonese),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/62
58,Malicious Code Mechanism Deep Dive,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/63
59,Best Practices for the Safety Operation of the Host on the Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/64
60,Machine Learning Algorithm Primer Series 3- Logistic Regression Model,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/65
61,Machine Learning Algorithm Primer Series 4- Decision Tree and Random Forest,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/66
62,MySQL for Beginners - Basic Queries,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/67
63,Migrate Your Application to Alibaba Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/68
64,Introduction to Network Attached Storage,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/69
65,Introduction to Docker Container,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/70
66,Interconnecting VPC Using Cloud Enterprise Network,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/71
67,The Backup and Recovery of Common Cloud Databases,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/72
68,Data Visualization Using Python,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/73
69,Alibaba Cloud Big Data Products Overview,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/74
70,Alibaba Cloud MaxCompute-Basic Knowledge,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/75
71,Alibaba Cloud MaxCompute-Data Transmission,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/76
72,Alibaba Cloud MaxCompute-SQL Development,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/77
73,Alibaba Cloud MaxCompute-UDF Development,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/78
74,Alibaba Cloud MaxCompute-Programming Model,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/79
75,Alibaba Cloud MaxCompute-Authority and Security,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/80
76,Alibaba Cloud DataWorks-Basic Knowledge,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/81
77,Alibaba Cloud DataWorks-Application Development,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/82
78,Alibaba Cloud Big Data - Data Integration,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/83
79,Alibaba Cloud Quick BI,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/84
80,Using Kubernetes to Manage Containers and Cluster Resources,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/85
81,Using Swarm to Orchestrate and Manage Containers,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/86
82,Implement Decision Tree with Python,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/87
83,Achieve CI&CD With Jenkins,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/88
84,How to achieve automated cloud resource orchestration with Terraform,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/89
85,Unstructured data migration,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/90
86,Apache Hadoop Overview,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/91
87,Hadoop Architecture and Principles,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/92
88,Hadoop Cluster Installation on Alibaba Cloud ECS,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/93
89,Using Hive and Hadoop on E-MapReduce,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/94
90,Predicting Coupon Efficacy,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/95
91,Using Spark on E-MapReduce,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/96
92,Quick Start Guide of Data Lake Analytics,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/97
93,An Introduction to Microservice Architecture,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/98
94,An Introduction to Application Containerization,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/99
95,Structured Data Migration,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/100
96,An Introduction of Alibaba Cloud MQ,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/101
97,Conducting DevOps practices on Alibaba Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/102
98,An Introduction of Elasticsearch,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/103
99,Using Function Compute To Acquire Users' Registration Info,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/104
100,Establish virtual private connection with VPN Gateway,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/105
101,Delivery Business Data Analysis,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/106
102,Persona Building of Housing Resource,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/107
103,Introduction to ApsaraDB for MongoDB,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/108
104,Introduction to HybridDB for PostgreSQL,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/109
105,Performance Testing and Optimizing of Containerized Applications,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/110
106,Support Vector Machine Implementation Through PAI,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/111
107,Data Development with DataWorks and MaxCompute,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/112
108,Introduction of HBase,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/113
109,HBase Performance Tuning,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/114
110,Alibaba Hybrid Cloud Solution,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/115
111,Problem Diagnosis and Monitoring for Containerized Applications,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/116
112,Introduction to API Gateway on Alibaba Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/117
113,Migration of cloud database from third-party platforms to Alibaba Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/118
114,Alibaba Cloud Network Solution,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/119
115,Alibaba Cloud Monitoring & Management,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/120
116,Use Log Service to Apply Log Management,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/121
117,ACP测试题库,2 questions Time limit: 2 min,https://edu.alibabacloud.com/clouder/exam/intro/122
118,Cloud Computing ACA,50 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/123
119,Cloud Computing ACP,70 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/124
120,Cloud Security ACA,60 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/125
121,Cloud Security ACP,80 questions Time limit: 120 min,https://edu.alibabacloud.com/clouder/exam/intro/126
122,Cloud Computing ACE,75 questions Time limit: 150 min,https://edu.alibabacloud.com/clouder/exam/intro/127
123,ACE Big Data Certification,50 questions Time limit: 150 min,https://edu.alibabacloud.com/clouder/exam/intro/128
124,ACP Big Data Certification,60 questions Time limit: 120 min,https://edu.alibabacloud.com/clouder/exam/intro/129
125,ACA Big Data Certification,60 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/130
126,Using a Simple Application Server to publish an E-commerce website,10 questions Time limit: 20 min,https://edu.alibabacloud.com/clouder/exam/intro/131
127,Cloud Computing ACA（Japanese）,50 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/132
128,Cloud Security ACA（Japanese）,60 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/133
129,Big Data ACA（Japanese）,45 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/134
130,Cloud Computing ACP（Japanese）,70 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/135
131,Cloud Security ACP（Japanese）,80 questions Time limit: 120 min,https://edu.alibabacloud.com/clouder/exam/intro/136
132,Big Data ACP（Japanese）,60 questions Time limit: 120 min,https://edu.alibabacloud.com/clouder/exam/intro/137
134,Understanding the Database Technology that powers Double 11,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/139
135,Internet of Things(IoT), Big Data and AI in Alibaba Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/140
136,Technologies behind double 11,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/141
137,test3,2 questions Time limit: 20 min,https://edu.alibabacloud.com/clouder/exam/intro/142
138,Test for Alibaba Cloud Product Overview,5 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/143
139,Test for Alibaba Cloud Data Warehouse,5 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/144
140,Test for Alibaba Cloud Database,8 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/145
141,Test for Network and Security,5 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/146
142,Test for Elastic Compute Service,5 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/147
143,Test for Alibaba Cloud Pricing, Support, and Getting Started,8 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/148
144,Test for Building A Cloud-Native Application on Alibaba Cloud,10 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/149
145,Alibaba Cloud ApsaraDB for PolarDB Technical Essentials,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/150
146,An Introduction Of DevOps,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/151
147,Operate and Manage a Cloud Server,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/152
148,Internetworking with VPC,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/153
149,Use Alibaba Cloud CDN to Accelerate Your Content Globally,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/154
150,Construct a Dynamic Website,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/155
151,Handle Large Traffic with Load Balancer,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/156
152,Operate and Manage Object Storage on the Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/157
153,Operate and Manage a Relational Database on the Cloud,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/158
154,Use Cloud Resources Flexibly According to Business Requirement,30 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/159
155,Cloud platform security overview,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/160
156,Data Development with DataWorks & MaxCompute,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/161
157,ACA EDCT Architect（English）,50 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/162
158,ACA EDCT Architect（Chinese）,50 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/163
159,Quickly Generate Large Dashboards for Data Visualization,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/164
160,Alibaba Cloud Network Solution(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/165
161,Cloud Database Empower Business Future(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/166
162,Elastic Compute and Technology Behind It(Exam),12 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/167
163,Online Education Solution for Learning Continuity(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/168
164,Data Economics in the Cloud(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/169
165,E-commmerce Solution for Retail Business Continuity(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/170
166,Empower your Business Scenarios with Unified Apsara Big Data Platform and AI Platform(Exam),12 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/171
167,Database-Migrate to Alibaba Cloud(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/172
168,Cross-border application acceleration solution for global consumer access(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/173
169,Bring a Machine Learning Application in Managed Kubernetes(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/174
170,Introduction to Redis,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/175
171,Introduction to ApsaraDB for MongoDB,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/176
172,How to Achieve Automated Cloud Resource Orchestration with Terraform(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/177
173,Connecting to Digital Asia(Exam),10 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/178
174,Extend Your Retail Business with Alibaba Cloud E-Commerce Solution(Exam),10 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/179
175,Secure Media Archive Solution(Exam),10 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/180
176,Going Cloud Native on Alibaba Cloud(Exam),10 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/181
177,An Introduction to Microservice Architecture(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/182
182,Conducting DevOps practices on Alibaba Cloud(Exam),10 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/187
183,Alibaba Cloud Fundamental Architecture and Case Study(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/188
184,Using Kubernetes to Manage Containers and Cluster Resources(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/189
185,Alibaba Cloud Introduction For FinTech(Exam),10 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/190
186,Cloud Native Databases for FinTech Innovation(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/191
187,Protect your financial business from end to end on Alibaba Cloud(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/192
188,Alibaba Cloud Big Data for Risk Management(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/193
189,Provisioning a Multi-zone ACK Kubernetes Cluster Using Terraform,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/194
190,Achieve CI&CD With Jenkins(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/195
191,Serverless on Alibaba Cloud(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/196
192,Network Solutions Introduction(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/197
193,Elastic Compute and the Technology Behind It(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/198
194,Cloud-native Introduction and Best Practices on Alibaba Cloud(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/199
195,Alibaba Cloud Academy Online Conference - Day 1 - Quiz,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/200
196,Alibaba Cloud Academy Online Conference - Day 2 - Quiz,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/201
197,Secure and Fast - Alibaba Cloud Elastic Compute Service (ECS),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/202
198,Fully Managed and Less Trouble - Alibaba Cloud Database(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/203
199,Building a Cloud - Native application on Alibaba Cloud(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/204
200,Stable and Robust - Network and Security(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/205
201,Using Alibaba Cloud Elasticsearch for Log Monitoring(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/206
202,How Dingtalk Can Help Your Business During the Covid-19 Situation(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/207
203,ACP EDCT Architect（English）,75 questions Time limit: 120 min,https://edu.alibabacloud.com/clouder/exam/intro/208
204,Global Acceleration Solution Certification(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/209
205,Alibaba Cloud Relational Database Service Technical Operations,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/210
206,Introduction to Data Management Service,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/211
207,Fintech Solution Certification(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/212
208,PolarDB and AnalyticDB Products Introduction Quiz,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/213
209,Introduction of Cloud Native Solution(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/214
210,From Monoliths to Microservices(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/215
211,AI Ability on Kubernetes(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/216
212,Management of Hybrid/Multi-cloud Clusters on Kubernetes(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/217
213,Deploy High-Performance ELK Stack with Kubernetes(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/218
214,How to Set up Autoscaling with Kubernetes(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/219
215,CI/CD with Container Registry(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/220
216,Application Observability(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/221
217,ACP EDCT Architect（Chinese）,75 questions Time limit: 120 min,https://edu.alibabacloud.com/clouder/exam/intro/222
218,Deploy an Image Process Service Using Function Compute(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/223
219,Using Function Compute To Acquire Users Registration Info(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/224
220,Alibaba Cloud Image Search Solution(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/225
221,Cloud-Native Database for FinTech(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/226
222,Fintech Solution Fundamentals(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/227
223,Hybrid Backup and Recovery Service(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/228
224,Machine Learning:Heart Disease Prediction(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/229
225,Data and Application Security for FinTech(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/230
226,3 Major Scenarios You Should Know To Migrate To Alibaba Cloud(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/231
227,ACA Cloud Native(Exam),96 questions Time limit: 180 min,https://edu.alibabacloud.com/clouder/exam/intro/232
228,Use Log Service to Apply Log Management(Exam),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/233
